S.N,Ward No.,Case No.,Brief Description of the grievance,Date of Grievance,Department,Status
26,Ward 31,32623,"Respected sir, madam 
Iam the student who is currently studying in class 12 at New summit collage shantinagar kathmandu. Iam the scholarship holder from science stream which is provided by the metropolitan city As i listen and looking different notices by Metropolitan city if we are the scholarship holder from metropolitan city we have not to pay any money to the college but New summit collage (where iam currently studying by schlorship) is asked me money by telling as a exam fee Rs.12000 per year but i have already pay the money for the board exam fee …. so iam requested to take action on it . Because of this moment i have having mental health problem which disturb my study also . i hope you will respond my problems as soon as possible. 
thank you",02/21/2025,शिक्षा विभाग,open
27,NoWard,17672,"Pentagon international Higher secondary School, Tinkune, Kathmandu ले +2 level को शिक्षक लागी भाद्र महिना पछी पारिश्रमिक दिएको छैन , कृप्या तलब दिलाउन स्कुल लाई सम्पर्क गरी
सहयोग गरी दिनुहोला !
धन्यवाद !

पीडित शिक्षक ",02/14/2025,शिक्षा विभाग,open
28,Ward 31,15135,वडा नं. ३१ भि एस निकेतन स्कुल नजिकै कौटिल्य ग्लोबल स्कुलले ३ जना महिला शिक्षकलाई १ महिना‍को पारिश्रमिक नदिएको भनि गुनासो आएको ।,01/30/2025,शिक्षा विभाग,open
29,Ward 28,15103,"Kathmandu Model College(Kmc +2) baghbazar has asked all the Mahanagar Scholarship granted students to deposit Rs.20,000 or else they are saying they won't let the students fill up the grade 12 NEB exam registration form. This is a very serious issue as it directly impacts future of those students who will not get to give grade 12 exams. So please please please look on this matter ASAP.",01/29/2025,शिक्षा विभाग,open
30,Ward 10,14987,रत्न राज्य स्कुलले मंसिरदेखिको तलब खुवाएको छैन । हामीलाई दैनिक गुजारा गर्न साह्रै कठिन भयो भन्दै शिक्षकहरुले गुनासो राख्नुभएको ।,01/16/2025,शिक्षा विभाग,open
31,Ward 10,12649,Naya baneshwor ko nobel college student sanga jata bahbi absent fee lageyako ,12/26/2024,शिक्षा विभाग,open
32,Ward 28,12627,वडा नं. २८ मा अवस्थित पद्मोदय मा वि फनपार्कको नजिकै रहेको स्कलमा आज परिक्षा शुल्क भनेर ४-५ सय रुपैँया पैसा मागेको भनि गुनासो आएको हुंँदा तुरुन्त  नियमन गर्नु भनि गुनासोआएको। ,12/23/2024,शिक्षा विभाग,open
33,Ward 1,12596,वडा नं. १ कमलपोखरीमा कमल आधारभुत विधालयले परिक्षा शुल्क भनेर पैसा मागेको र अन्य भर्ना शुल्क भनेर पैसा माग्ने अनि शुल्क वुझाएपछि रसिद नदिएको साथै विगत श्रावण महिनादेखी खाजा समेत नखुवाएको भनि गुनासो आएको ।,12/19/2024,शिक्षा विभाग,open
34,Ward 26,12591,"I'm a student of nepal police school samakhusi. I read in class 7 our school have indirectly stole our money we can say because they took our money for eca and there is no games,dance,music e•t•c they are doing sports week in the 16th of push and the games that the students are interested they haven't gave us like basketball,badminton, chess,relay etc and if we complain about that they target us and beat us you can also see the news of kundan thapa and others and the teachers are also not friendly with us and I would like to request you to visit our school and ask the students and give the suggestion to ur teacher principal and there are very discrimination between low post parents kids and high post parents kids and I also request you to give my identity so I don't get hamper my studies 

Thank-you!",12/19/2024,शिक्षा विभाग,open
35,Ward 29,12438,"कामपा २९ वडा डिल्लीबजार चारखालमा रहेको CBM college अथवा College of Business Management ले हामी छविलाल देवकोटा लगायत ४ जनालाई विगत ४/५ महिनादेखि salary दिएको छैन । माग्दा कलेज प्रशासन, प्रिन्सिपल ले उल्टै धाक धम्कि देखाउनुभयो । कलेजले शिक्षा कार्यविधि विपरित Masters pass नभएका teacher हरु राखेको छ । विषयगत teacher हरु पनि न्युन संख्यामा छन् । Underground floor मा Parking राख्नु पर्नेमा कक्षा सञ्चालन गरिरहेको छ । हामीले यि सबै समस्या समेटेर का‍मपाको ground floor मा निवेदन पनि दिइसकेका छौं भन्ने गुनासो आएको छ ।",11/27/2024,शिक्षा विभाग,open
