S.N,Ward No.,Case No.,Brief Description of the grievance,Date of Grievance,Department,Status
152,NoWard,7361,L R I school ले भर्न फि भनेर ५ हजार माग्यो ,08/18/2023,शिक्षा विभाग,open
153,Ward 3,7360,रिपुमर्दिनि आवाशिय सैनिक महाविधालयले छात्रवृत्तीको विधार्थिलाई भर्न लिन मानेन ।,08/18/2023,शिक्षा विभाग,open
154,NoWard,7359,"Triton colledge ले १० हजार एड्मिसन फि माग्यो, परिक्षा फि को नाममा ",08/18/2023,शिक्षा विभाग,open
155,NoWard,7357,"ट्रिनिटि कलेजले एनुअल फि भनेर ३४०००/- मागेको छ। (विद्यार्थि-रुबिज मल्ल)
जेबिर्स एकेडेमि लाजिम्पाट बार्षिक ४३५००/- मागेको छ।( विद्यार्थि-कोजडोज थापा)
जेबिर्स इन्टरनेशनल कलेज कालोपुलमा वार्षिक फि ५००००/- मागेको छ।(विद्यार्थि-सिद्धार्थ झा)
ग्लोबल कलेजले व्यवस्थापन शंखायमा वार्षिक फी ४००००/- मागेको छ। आवश्यक अनुगमन गरिदिनुहुन अनुरोध छ।",08/18/2023,शिक्षा विभाग,open
156,NoWard,7356,"Reddon colledge, ले ५ हजार   Global Colledge ले ४० हजार फि माग्यो",08/18/2023,शिक्षा विभाग,open
157,NoWard,7355,"CCRC कलेजले ईक्जाम फि,स्यानिटेसन,स्पोर्ट लगाएतको नाममा ४५ हजार भन्दा वडी फि माग्यो छात्रवृत्तीको,, भरना हुदा पनि के गर्ने।",08/18/2023,शिक्षा विभाग,open
158,NoWard,7354,सिफल सेकेन्डरि कलेजले कुनै सूचना आएको छैन भनि छात्रवृत्ति प्राप्त गर्ने विद्यार्थिलाइ भर्ना गर्न मानेको छैन भनि गुनासो आएको छ।अनुगमन गरियोस।,08/17/2023,शिक्षा विभाग,open
159,NoWard,7353,सिफल सेकेन्डरि कलेजले कुनै सूचना आएको छैन भनि छात्रवृत्ति प्राप्त गर्ने विद्यार्थिलाइ भर्ना गर्न मानेको छैन भनि गुनासो आएको छ।अनुगमन गरियोस।,08/17/2023,शिक्षा विभाग,closed
160,Ward 15,7352,भगवान पाउँमा भएको दिव्यश्वरि आर्मि कलेज  ले छात्रवृत्तिको भर्ना नै गर्न मानेन भनि गुनासो आएको छ। अनुगमन गरिदिनुहुन अनुरोध छ।,08/17/2023,शिक्षा विभाग,open
161,NoWard,7350,"CCRC कलेजले विविध भनेर बिद्यार्थिहरुबाट ४५०००/- वार्षिक मागेको छ। (विद्यार्थि- डेविड साउद)
प्रिमियर कलेज बानेश्वरले वार्षिक ३३०००/- मागेको छ। (विद्यार्थि- फ्रान्सिस भट्राइ)
निस्ट कलेज, लैनचोरले ५०००/- मागेको छ। (विद्यार्थि -अर्जुन प्रसाद उपाध्याय)
ग्लोबल कलेज अफ साइन्स वार्षिक ५००००/- मागेको छ। ( अमित कुमार शाह) 
पिपुल्स कलेज पक्नाजोलले वार्षिक ९०००/- मागेको छ।
पेन्टागन कलेजले परीक्षा फि भनेर ४०००/- मागेको छ। आवश्यक अनुगमन तथा निर्देशन दिइ पुर्ण छात्रवृति उपलब्ध गराइदिनुहुन अनुरोध छ।",08/17/2023,शिक्षा विभाग,open
162,NoWard,7351,"CCRC कलेजले विविध भनेर बिद्यार्थिहरुबाट ४५०००/- वार्षिक मागेको छ। (विद्यार्थि- डेविड साउद)
प्रिमियर कलेज बानेश्वरले वार्षिक ३३०००/- मागेको छ। (विद्यार्थि- फ्रान्सिस भट्राइ)
निस्ट कलेज, लैनचोरले ५०००/- मागेको छ। (विद्यार्थि -अर्जुन प्रसाद उपाध्याय)
ग्लोबल कलेज अफ साइन्स वार्षिक ५००००/- मागेको छ। ( अमित कुमार शाह) 
पिपुल्स कलेज पक्नाजोलले वार्षिक ९०००/- मागेको छ।
पेन्टागन कलेजले परीक्षा फि भनेर ४०००/- मागेको छ। आवश्यक अनुगमन तथा निर्देशन दिइ पुर्ण छात्रवृति उपलब्ध गराइदिनुहुन अनुरोध छ।",08/17/2023,शिक्षा विभाग,open
163,Ward 15,7349,विजेश्वरी सैनिक महाविधालयले का.म.पा. वाट लियको छात्रवृत्ती हामी मान्दैनौ हामी सैनीक को लागी मात्रै हो भनेर भरन गर्न मानेन ।,08/17/2023,शिक्षा विभाग,open
164,NoWard,7324,आखाँ पाक्ने रोगले विद्यार्थि र शिक्षकहरुलाइ समस्या भयो। स्कुल बन्द गर्ने निर्णय गरिदिनुहुन अनुरोध छ।,08/14/2023,शिक्षा विभाग,open
165,Ward 14,7300,नेपाल काष्टमण्डप कलेज कलंकीले किताव कापी हरु यसै कलेज वाटै लिनपर्छ भनेर अनावश्यक दवाज दीयो ।,08/10/2023,शिक्षा विभाग,open
166,Ward 14,7278,कलंकि काष्ठमण्डप कलेजमा विधार्थिहरुलाइ किताब कापि कलेजबाट मात्र खरिद गर्नुपर्ने व्यवस्था छ। बाहिर बाट खरिद गरेको भएन। अहिले बिक्रि वितरण गरिराखेको छ। अनुगमन गरिदिनुहुन अनुरोध छ।,08/04/2023,शिक्षा विभाग,open
167,Ward 14,7253,कलंकिमा रहेको काष्ठमण्डप कलेजले आफ्नो कलेजको कपी नकिनेर बाहिरको कपि किन्दा गृहकार्य नै शिक्षकले चेक नगरेको र कलेजकै कपि किन्न बाध्य गराएको छ। आवश्यक अनुगमन गरिदिनुहुन अनुरोध छ।,08/01/2023,शिक्षा विभाग,open
168,Ward 10,7214,बिजुलि बजारमा रहेको चक्रवति हवि एजुकेशन एकेडेमि २ महिनादेखि बन्द छ। हामिहरुको पुरै पैसा लिइसक्यो। बोर्ड परिक्षा पनि आउन लाग्यो।सधै झगडा मात्र हुन्छ। आवश्यक अनुगमन गरिदिनुहुन अनुरोध छ।,07/26/2023,"नगर प्रहरी बल,शिक्षा विभाग,Mayorसचिवालय",closed
169,NoWard,7140,"kmc, trinity जस्ता कलेजले भर्नाको लागि ३, ४ दिन मा कोटा पुरा हुन्छ भनेर भर्ना गर्न लगाएको छ तर का.म.पा. को छात्रवृतिको परिक्षा २० गते मात्र हुने गरेको छ। जसले गर्दा विद्यार्थिमा समस्या भयो। भर्ना गरेन भने कोटा पुरा भएर पछि पढ्न नपाउने तर भर्ना गर्यो छात्रवृतिमा नाम निस्कन नसकेमा त्यत्रो महंगो फी तिर्न नसक्ने अवस्था भएकोले का.म.पा.को छात्रवृतिको रिजल्ट नआउदा सम्म भर्ना कार्य रोक्न आवश्यक कार्य गरिदिनुुहन अनुरोध छ भनि गुनासो आएको छ।",07/16/2023,"शिक्षा विभाग,Mayorसचिवालय",closed
170,NoWard,7138,नेपाल काष्ठमण्डप कलेजले कलेज बाहिर कपि किन्न दिदैन। कलेजबाटै दिएको कपि चलाउनुपर्ने व्यवस्था छ। आवश्यक अनुगमन गरिदिनुहुन अनुरोध छ।,07/16/2023,शिक्षा विभाग,open
171,Ward 8,7115,पशुपति नजिक रहेको बाल विद्या आश्रम जहा संस्कृत पढाइन्छ त्यहा बच्चाहरुको खानामा प्लास्टिक भेटिएको छ साथै दिवा खाजामा एकदमै कटौटि गरिएको छ। आवश्यक अनुगमन गरिदिनुहुन अनुरोध छ।,07/12/2023,शिक्षा विभाग,closed
172,Ward 10,7041,बानेश्वर रत्नराज्य स्कुलले बुक फ्रि फ्राइडेमा कुनै शिपमुलक कार्यक्रम गर्दैन। आवश्यक अनुगमन गरि शिपमुलक कार्यक्रम गर्न निर्देशन दिनुहुन अनुरोध छ।,07/04/2023,शिक्षा विभाग,closed
173,Ward 28,7013,२८ वडाको वागवजारमा खानेपानीमा किरा देखीयो,06/30/2023,शिक्षा विभाग,open
174,Ward 16,6994,बालाजु माछापोखरि क्षेत्रमा निजि कलेजहरुको क्यान्टिन एकदमै महगो भयो। आवश्यक अनुगमन गरि खाजा शुल्क सम्बन्धमा आवश्यक निगरानि गरिदिनुहुन अनुरोध छ।,06/28/2023,शिक्षा विभाग,open
175,Ward 29,6990,"बिजुलि बजारमा रहेको चक्रवति हवि कलेजले शुल्क धेरै शुल्क बढाएको छ। विद्यार्थि पनि धेरै भर्ना गरेको छ।हाल विद्यार्थिहरु ३, ४ दिनदेखि आन्दोलनमा छन। प्रिन्सिपललाइ पनि भेट्न गाह्रो हुन्छ। शुल्क घटाउन आवश्यक अनुगमन गरि निर्देशन दिनहुन अनुरोध छ।",06/27/2023,शिक्षा विभाग,open
176,Ward 10,6967,सिनामंगलमा रहेको प्रस्फुटन इन्टरनेशनल एकेडेमिले कुनै पनि विद्यार्थिलाइ  प्रथम र द्धितिय विद्यार्थि तथा जम्मा विद्यार्थिको १० प्रतिशतलाइ छात्रवृति दिने सुविधा उपलब्ध गराएको छैन। आवश्यक अनुगमन गरि छात्रवृतिको व्यवस्था गरिदिनुहुन अनुरोध छ।,06/23/2023,शिक्षा विभाग,closed
177,Ward 16,6949,बोराटारमा रहेको सितला स्कुल जुन सरकारि विद्यालय भएता पनि वार्षिक ५०००/- उठाउने गरेको छ। आवश्यक अनुगमन गरि अनावश्यक शुल्क उठाउन रोक लगाइदिनुहुन अनुरोध छ।,06/21/2023,शिक्षा विभाग,closed
178,Ward 7,6945,गौरिघाट स्थित किड्स होम मन्टेश्वरिले बच्चाहरुलाइ पिट्ने तर्साउने गर्छन। आवश्यक निर्देशन दिनुहुन अनुरोध छ।,06/21/2023,शिक्षा विभाग,closed
179,NoWard,5953,kmc मा प्राय कलेजहरुले १२ कक्षाको पढाइ असार १० बाट सुरु गर्न गैरहेको अवस्था छ। जसरि १० कक्षा सम्मको विद्यालयको छात्रवृतिको लागि का.म.पा ले काम गरेको थियो त्यसरि नै प्लस्टुहरुको पनि अनुगमन गरि शिक्षामा हुने अनियमिता तथा उपलब्ध गराउने छात्रवृतिको सम्बन्धमा आवश्यक कदम चलादिनुपर्यो भनि सु्झाब आएको छ।,06/20/2023,"शिक्षा विभाग,Mayorसचिवालय",closed
180,Ward 32,5944,न्यु भिजन एकेडेमि कोटेश्वर को स्कुलले प्रथम भएका विद्यार्थिलाइ कुनै किसिमको छात्रवृति उपलब्ध गराएको छैन तर छात्रवृति दिएको विद्यालयमा नाम समावेश भएको छ भनि गुनासो आएको हुदा आवश्यक अनुगमन गरि छात्रवृति उपलब्ध गराइदिनुहुन अनुरोध छ।,06/19/2023,शिक्षा विभाग,open
181,Ward 15,5926,काठमाडौ भ्यालि स्कुलले १० प्रतिशत विद्यार्थिलाइ दिनुपर्न छात्रवृति पनि दिएको छैन । आवश्यक अनुगमन गरि छात्रवृतिको अवसर प्रदान गरिदिनुहुन अनुरोध छ।,06/16/2023,शिक्षा विभाग,open
182,Ward 10,5912,बुद्धनगरमा रहेको k.m.c स्कुलले प्रथम हुने विद्यार्थिलाइ पुर्ण रुपमा छात्रबृति नदिइ थोरै मात्रामा मात्र दिन्छ। आवश्यक अनुगमन गरिदिनुहुन अनुरोध छ।,06/14/2023,शिक्षा विभाग,open
183,Ward 14,5900,ज्ञानकुञ्ज स्कुल को toilet मा पानि हुदैन विद्यार्थिहरु घरमा जानुपर्नय अवस्था छ साथै खानेपानिको पनि समस्या छ। आवश्यक काम गरिदिनुहुन अनुरोध छ।,06/13/2023,शिक्षा विभाग,open
184,Ward 31,5860,"मिनभवनको EPS स्कुलले मेडिकल चार्ज भनेर पैसा लिन्छ।प्याड पनि दिदैन। कम्प्युटर, लाइबेर, बस भाडा भनि शुल्क लगेको तर कम्प्युटर सिकाएको छैन, लाइबेरिबाट कुनै किताब पनि दिएको छैन। धेरै शुल्क लिन्छ। आवश्यक अनुगमन गरि कारबाहि गरिदिनुुहन अनुरोध छ।",06/06/2023,शिक्षा विभाग,open
185,Ward 16,5858,नेपाल युवक मा.वि. भित्र पुरानो स्कुल २०७२ को भुकम्पबाट पुर्ण झति भएको तर अहिले विद्यार्थिहरु क्षति भएको भवन वरिपरि खेल्ने गर्छन जसले ठुलो दुर्घटना निम्ताउन सक्छ। त्यसैले उक्त स्कुल पुर्ण रुपमा भत्काइदिनुहुन अनुरोध छ।,06/06/2023,"नगर प्रहरी बल,शिक्षा विभाग",closed
186,NoWard,5852,"white field school ले ६ कक्षा भन्दा तलका प्रथम, द्धितिय हुने विद्यार्थिलाइ कुनै छुट छैन भनि छुट नदिएको अवस्था छ। छात्रवृतिको लागि आवश्यक सहयोग गरिदिनुहुन अनुरोध छ।",06/06/2023,शिक्षा विभाग,open
187,Ward 4,5848,"NCCS  school, चण्डोल बन्सिधरमार्गले प्रथम तथा दितिय भएको विद्यार्थिलाइ तथा १० प्रतिशत विद्यार्थिलाइ दिनुपर्ने कुनै पनि सुविधा दिएको छैन। आवश्यक अनुगमन गरि सहुलियत प्रदान गरिदिनुहुन अनुरोध छ।",06/05/2023,शिक्षा विभाग,closed
188,NoWard,5841,"न्युरोड, बसन्तपुर, कुमारिगाल क्षेत्रका सरकारि स्कुलमा शिक्षकहरुले राम्रो सग नपढाइदिनाले विद्यार्थिको पढाइको स्तर एकदमै कमजोर छ। आवश्यक अनुगमन गरि शैक्षिक स्तर सुधार्न सहयोग गरिदिनुहुन अनुरोध छ।",06/04/2023,शिक्षा विभाग,open
189,NoWard,5828,अस्कल क्याम्पसमा नियमित रुपमा पढाइ हुदैन शिक्षकहरुबाट लापरबाहि हुन्छ।यस सम्बन्धमा आवश्यक अनुगमन गर्ने वातावरण मिलाइदिनुहुन अनुरोध छ।,06/02/2023,शिक्षा विभाग,open
190,Ward 4,4806,सुकेधारामा रहेको वागमति वोर्डीङ स्क्लले ७ देखि १० सम्म का विधार्थिलाई धेरै होमोक दिने विधार्थिलाई पिट्ने गर्दछन ।,05/31/2023,शिक्षा विभाग,open
191,Ward 10,4793,नयाँवानेश्वर खरीवोटमा रहेको रेनस स्कुलले कुनै पनि विधार्थी लाई यो वर्ष छुट दिनसकीन्न अर्को वर्ष देखी दिन्छौं भनेर टर्यो ।,05/28/2023,शिक्षा विभाग,open
192,NoWard,4783,"2, 3 कक्षाको बच्चाको बुक धेरै लिएर स्कुल जानु पर्छ जसले बालबालिकालाइ धेरै लोड भयो।यस सम्बन्धमा आवश्यक काम गरिदनुहुन अनुरोध छ।",05/26/2023,शिक्षा विभाग,open
193,Ward 11,4775,"विश्वनिकेतन स्कुलमा ९, १० कक्षाको बच्चाहरुलाइ प्लसटु पढ्ने बच्चाहरुले पढाउछन र शिक्षकको आउने जाने समय पनि ठिक छैन। र स्कुल चल्ने समय पनि ठिक छैन। अनुगमन गरिदिनुहुन अनुरोध छ।",05/24/2023,शिक्षा विभाग,open
194,Ward 15,4758,मैत्री स्कुल छाउनीले कक्षा १ का विडधार्थिलाई छात्र वृत्ती दिएन ,05/22/2023,शिक्षा विभाग,open
195,Ward 16,4680,बालबाटीका इन्टरनेशनल स्कुल बालाजुले प्रथम आएको विद्यार्थिलाइ कुनै किसिमको छुट दिएनन्। छुट माग्न जादा महानगरको स्थायि बासिन्दाको लागि मात्र हो भनिएको छ। आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,05/08/2023,शिक्षा विभाग,open
196,Ward 4,4678,बन्सिधर मार्ग बिशालनगर चण्डोलमा भएको NCCS school ले प्रथम द्धितिय आउने तथा कुल विद्यार्थिको संख्याको १० प्रतिशत छात्रवृत्ति पनि उपलब्ध गराएको छैन। आवश्यक अनुगमन गरि छात्रवृत्ति उपलब्ध गराउनुहुन अनुरोध छ।,05/07/2023,शिक्षा विभाग,open
197,Ward 16,4673,बसुन्धरा कलेजले बि.बि. एस  तेस्रो वर्षको परिक्षा फि २५०० लिन्छ एकदमै महगो भयो। यसको आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,05/05/2023,शिक्षा विभाग,open
198,Ward 30,4668,ज्ञानेश्वर स्थित Galaxy स्कुले मेरो वच्चा लाई ९ वाट १०  मा जाँदा प्रथम भए पनि Scholarship दिदैन ।,05/03/2023,शिक्षा विभाग,closed
199,NoWard,4661,बालबाटिका इन्टरनेशनल स्कुलले प्रथम आउने विद्यार्थिलाइ केहि पनि छुट दिएन। आवश्यक अनुगमन गरि छुटको व्यवस्था गरिदिनुहुन अनुरोध छ।,05/03/2023,शिक्षा विभाग,open
200,Ward 10,4660,अवार्नेश इन्टरनेशनल एकेडेमि संखमुलको किताब एउटै पुस्तकपसलमा मात्र पाइन्छ तर त्यो पुस्तक पसललेले मान्छे पिच्छे फरक फरक मुल्य गर्ने गरेको छ। आवश्यक अनुगमन गरि पुस्तकको मूल्यमा एकरुपता कायम गरिदिनुहुन अनुरोध छ।,05/03/2023,शिक्षा विभाग,open
201,Ward 16,4655,१६ वडा वाल वाटिका ईन्टरनेशनल स्कुलले क्लासमा प्रथम हुने विधार्थिले पाउने सुविधा स्थानिय बासिन्दालाई मात्र हो भनेर दिदैन ।,05/01/2023,शिक्षा विभाग,closed
202,Ward 4,4653,सुकेधारा स्थित वागमति वोर्डिङ स्कुल मा पढदैआएक मेरा छोरा छोरीहरु लई भर्ना शुल्क पुरै लियो मासीक शुल्कमा  केही छुट दिएजस्तो गर्छ । रकम तिर्न पनि ताकेता गर्छ ।,04/30/2023,शिक्षा विभाग,closed
203,NoWard,4652,स्कुलहरुले मनपर्दी शुल्क लिने वार्षिक फि भनदै पटक पटक पैसा असुल्ने गरेकाछन नियमन गर्नु पर्यो ।,04/30/2023,शिक्षा विभाग,closed
204,Ward 26,4651,२६ वडा गल्को पाखा मा २/३ ओटा स्क्लहरुले छात्रवृत्ती दिदैनन् र हरेक वर्ष रि एडमीसन लिने गरेका छन कारवाही हुनु पर्यो ।,04/30/2023,शिक्षा विभाग,closed
205,Ward 26,4650,२६ वडा मा २/३ ओटा स्क्लहरुले छात्रवृत्ती दिदैनन् र हरेक वर्ष रि एडमीसन लिने गरेका छन कारवाही हुनु पर्यो ।,04/30/2023,शिक्षा विभाग,closed
206,NoWard,4649,स्कुल कलेजहरुले भ्रमण जानै पर्ने भनेर वाध्य गर्ने गरेका हुनछन हरीदीनु पर्यो ।,04/30/2023,शिक्षा विभाग,closed
207,Ward 16,4641,१६ वडा स्थित वालवाटिका ईनटरनेशनल स्कुलले मेरो १ क्लास वाट २ मा जाने फस्ट भएको वच्चालाई पानि छात्र वृत्ती दिएन ।,04/29/2023,शिक्षा विभाग,closed
208,Ward 30,4635,ग्यालेसी पव्लिक स्कुलले छात्रवृत्तिको कै सुविधा दिएन दिलाई पाउँ ।,04/27/2023,शिक्षा विभाग,closed
209,Ward 3,4631,बासबारिको मेरिडेन स्कुलले १ कक्षा पढ्ने विद्यार्थिलाइ भ्रमण खर्च १००००/- कपि मात्रको १२०००/- लियो।प्रथम र द्धितिय हुने विद्यार्थिलाइ छुट पनि दिएन। का.म.पा. कार्यालयले स्कुल चलाउने हो र भनेर ठाडो जवाफ दियो।स्कुलको अनुगमन गरि छुटको व्यवस्था तथा चर्को शुल्क नियन्त्रण गरिदिनुहन अनुरोध छ।,04/26/2023,शिक्षा विभाग,closed
210,Ward 14,4628,जनपथ सेकेण्डरि स्कुल कलङ्किले न्युन आय भएका अभिभावकबाट चर्को शुल्क लिने गरेको छ। सरकारले शिक्षामा यति धेरै लगानि गरेको छ। किन यसो गरेको भन्दा विद्यार्थिमाथि अभद्र व्यवहार गरि तेरो विद्यार्थि अन्त लगेर पढा भनि ठाडो जवाफ दिन्छ। आवश्यक अनुगमन गरि शुल्क निपन्त्रण तथा छात्रवृतिको व्यवस्था गरिदिनुहुन अनुरोध छ।,04/26/2023,शिक्षा विभाग,closed
211,NoWard,4626,"निजि स्कुलहरुले भर्ना शुल्क, मासिक शुल्क तथा मनोमानि ढंगले विविध शुल्क असुल्ने गर्दछन। आवश्यक अनुगमन गरि शुल्क नियन्त्रण गरिदिनुहुन अनुरोध छ।",04/26/2023,शिक्षा विभाग,closed
212,Ward 3,4625,चक्रपथ स्थित जेन बेवि स्कुलले छात्रावृतिको बारेमा अभिभावक तथा विद्यार्थिलाइ जानकारि नगराएको र छात्रवृतिको लागि आवश्यक सहयोग गरिदिनुहुन अनुरोध छ।,04/26/2023,शिक्षा विभाग,closed
213,Ward 1,4618,दरवारमार्ग स्थित भानु मा.वि.ले अभिभावकहरु संग डोनेसन भनेर रकम उठाईराखेको छ ।,04/24/2023,शिक्षा विभाग,closed
214,Ward 6,4614,वौद्ध जोर पाटी सर्वनाम शिक्षालय स्कुल मा  ४मा  पहीलो दोश्रो  भएको विधार्थी लाई स्कोलार्शिप दिएन,04/24/2023,शिक्षा विभाग,closed
215,Ward 10,4612,कक्षा ६ को जनशिक्षा सामाग्रिबाटै मुल्य नखुलाएको तथा मुल्य खुलाएको ठाउँमा छाप लगाएर नबुझिने अवस्थामा छ। कतिमा किताब बिक्रि गर्ने अन्योलता भयो। मुल्य खुलाइदिनुहुन अनुरोध छ।,04/23/2023,"शिक्षा विभाग,Mayorसचिवालय",closed
216,Ward 32,4611,न्यु भिजन एकेडेमि स्कुल कोटेश्वरमा कक्षा ९ मा प्रथम आएको विद्यार्थिलाइ कुनै किसिमको छुट तथा सहुलियत प्राप्त भएन। आवश्यक अनुगमन गरि छुट र सहुलियतका लागि आवश्यक व्यवस्था मिलाइदिनुहुन अनुरोध छ।,04/23/2023,शिक्षा विभाग,closed
217,Ward 15,4610,15 वडा को एउटा निजि स्कुलले २ कक्षाको बच्चालाइ डिसनेरि किन्न लाग्यो र किताबको लिस्ट दिएन। निजि विद्यालयको आवश्यक अनुगमन गरिदिनुहन अनुरोध छ।,04/23/2023,शिक्षा विभाग,closed
218,Ward 6,4608,सम्बोत्ता मा.वि. तिनचुलि बौद्ध मा ग्रेडिङ्गमा रिजल्ट निकाल्ने गर्छ जसले प्रथम दितिय स्थान आउने तथा जेहेन्दार छात्रछात्रालाइ कुनै पनि छुट सहुलियत दिएको छैन। आवश्यक अनुगमन गरि छुट तथा छात्रबृतिको व्यवस्था गरिदिनुहुन अनुरोध छ।,04/23/2023,शिक्षा विभाग,closed
219,Ward 32,4607,जडिबुटी सर्वेश्वरि आदर्श विद्यालयले कक्षा ६ प्रथम विद्यार्थिलाइ कुनै किसिमको सुविधा तथा सहुलियत नदिएको र छुट माग्दा कुनै किसिमको जानकारि नभएको भन्नुभयो।आवश्यक अनुगमन गरि निर्देशन दिनुहुन अनुरोध छ।,04/23/2023,शिक्षा विभाग,closed
220,Ward 14,4604,गंगा स्कुल र LRI स्कुलले आफुले भनेको  स्टेशनरिबाट मात्र स्टेशनरिको छाप लगाएको पुस्तक मात्र हुने र अरु स्टेशनरिको पुस्तक फिर्ता गरिदिएको छ। यस्तो सिन्डिकेट अन्त्य गरिदिनुहुन अनुरोध छ।,04/23/2023,शिक्षा विभाग,closed
221,Ward 14,4603,कुलेश्वर आवास क्षेत्रमा बाटो अवरुध पारेर ढलको लागि बाटो खनेर आवतजावतमा समस्या भयो। ढल व्यवस्थापन गरि बाटो चाडो बनाइदिनुहुन अनुरोध छ,04/23/2023,शिक्षा विभाग,closed
222,Ward 7,4602,गोपिकृष्ण हलको पछाडि सरस्वति नगरमा रहेको KUCT स्कुलले प्रथम र द्धितियलाइ छुट माग्दा विद्यालयलाइ कुनै किसिमको जानकारि नभएको भनि छुट दिएनन्। आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,04/23/2023,शिक्षा विभाग,closed
223,NoWard,4601,"स्कुलमा ग्रेडिङ्ग प्रणालि हुनाले एउटै कक्षामा  A + ल्याउने १५, २० जना हुन्छ।यस्तो नतिजाले प्रथम द्धितिय छुटिदैन जसले विद्यालयले कुनै सुविधा तथा छुट दिदैन।यसको समाधानका लागि आवश्यक काम गरिदिनुहन अनरोध छ।",04/23/2023,शिक्षा विभाग,closed
224,Ward 30,4600,ग्यालेक्सि पब्लिक स्कुलमा प्रथम तथा द्धितिय स्थानमा आउने विद्यार्थिलाइ कुनै किसिमको छुट तथा सुविधा दिएको छैन। आवश्यक अनुगमन गरि कारबाहि गरिदिनुहन अनुरोध छ।,04/23/2023,शिक्षा विभाग,closed
225,Ward 32,4598,कोटेश्वर ग्रामिण स्कुलमा विद्यार्थिको ranking नै निकाल्दैन जसले गर्दा प्रथम दितिय  स्थानामा आएको विद्यार्थिले कुनै पनि छुट पाएनन्। आवश्यक अनुगमन गरिदिनुहुन अनुरोध छ।,04/23/2023,शिक्षा विभाग,closed
226,Ward 16,4597,झरना स्कुल बनस्थलिले कक्षामा प्रथम र द्धितिय स्थान आएको विद्यार्थिलाइ मासिक फी मात्र छुट भयो वार्षिक फि पुरै लियो। वार्षिक फि पनि छुट गराउन आवश्यक निर्देशन दिनुहुन अनुरोध छ।,04/16/2023,शिक्षा विभाग,closed
227,Ward 7,4594,जेबियर स्कुल कुमारिगालले कक्षामा प्रथम हुने ७ र ९ कक्षाका विद्यार्थिलाइ छुट दिएन। आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,04/22/2023,शिक्षा विभाग,closed
228,Ward 10,4589,kmc school ले टोकन दिएर  बुक र कपि लिदा उसैले भनेको पसलबाट लिन बाध्य गर्छ। यसको नियन्त्रण गरिदिनुहुन अनुरोध छ।,04/22/2023,शिक्षा विभाग,closed
229,Ward 10,4588,रोजबर्ड स्कुल बुद्धनगर पढ्ने गुनासो कर्ताको छोराको स्कुलले एकै पटक ५०००/- बढाएको छ। आवश्यक अनुगमन गरि शुल्क बृद्धि नियन्त्रण गरिदिनुहुन अनुरोध छ।,04/22/2023,शिक्षा विभाग,closed
230,Ward 32,4587,पेप्सिकोलामा रहेको ग्लोबल पब्लिक स्कुलले खाजा खादा बिदाको दिनसमेत को पैसा जोडेर असल गर्यो। आवश्यक अनुगमन गरिदिनुहुन अनुरोध छ।,04/22/2023,शिक्षा विभाग,closed
231,NoWard,4584,निजि क्षेत्रको बोडिङ्ग स्कुलहरुले भर्नाशुल्कमा एनुअल फि भनेर लिन्छ।त्यो केसमा खर्च गर्छ देखाउन सकेदैन। यसको नियन्त्रण गरिदिनुहुन अनुरोध छ।,04/22/2023,शिक्षा विभाग,closed
232,NoWard,4582,ग्यालेक्सि पब्लिक स्कुलले प्रथम स्थान आएको गुनासोकर्ताको बच्चालाइ कुनै किसिमको छात्रवृति सुविधा दिएको छैन।आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,04/22/2023,शिक्षा विभाग,closed
233,NoWard,4581,इमाइल एकेडेमि स्कुलले अहिलेसम्म कुनै छात्रवृत्ति दिएको छैन। कपि पनि स्कुलबाटै किन्नुपर्छ। आवश्यक अनुगमन गरि सुधार गरिदिनुहुन अनुरोध छ।,04/22/2023,शिक्षा विभाग,closed
234,Ward 1,4580,युनिग्लोब स्कुल कमलादि रहेकोे पुस्तकालय को नाम तोकेर पुस्तक किन्न भन्यो तर अन्य पुस्तकपसलबाट किन्दा राम्रो डिस्काउन्ट पाइन्छ। आवश्यक अनुगमन गरि पुस्तक पसल तोक्ने प्रचलन अन्त्य गरिदिनुहुन अनुरोध छ।,04/22/2023,शिक्षा विभाग,closed
235,Ward 16,4573,बनस्थलिमा रहेको ज्ञान रस्मि जनजागृति स्कुलमा कक्षा आठको इन्ट्रानसमा फेल गराएर भर्ना गरिदिएन।पढ्न पाउने बालबालिकाको अधिकार मिच्न मिल्दैन। यस सम्बन्धमा आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,04/19/2023,शिक्षा विभाग,closed
236,Ward 13,4564," निजि छाउनिको स्कुलमा प्रत्येक वर्ष भर्ना शुल्क भनेर २०, २२ हजार उठाउछ ।एक चोटी भर्ना शुल्क तिरेपछि फेरि अर्को वर्ष भेना शुल्क नलिए अभिभावकलाइ धेरै राहत हुने थियो। त्यसको अनुगमन गर्न पर्यो भनि गुनासो आएको छ।",04/17/2023,शिक्षा विभाग,closed
